year,population_type,population_number
1991,Refugees,16854762
1992,Refugees,17838020
1993,Refugees,16325299
1993,IDPs,4198400
1994,Refugees,15753494
1994,IDPs,5322990
1995,Refugees,14895916
1995,IDPs,4286690
1996,Refugees,13356861
1996,IDPs,4853712
1997,Refugees,12014967
1997,IDPs,4573112
1998,Refugees,11480439
1998,IDPs,5063880
1999,Refugees,11686760
1999,IDPs,3968648
2000,Refugees,12129080
2000,IDPs,5998501
2001,Refugees,12116301
2001,IDPs,5096502
2002,Refugees,10593526
2002,IDPs,4646641
2003,Refugees,9592279
2003,IDPs,4181701
2004,Refugees,9572778
2004,IDPs,5426539
2005,Refugees,8661294
2005,IDPs,6616791
2006,Refugees,9877009
2006,IDPs,12794268
2007,Refugees,11390156
2007,IDPs,13740317
2008,Refugees,10488995
2008,IDPs,14442227
2009,Refugees,10395780
2009,IDPs,15628057
2010,Refugees,10548900
2010,IDPs,14697804
2011,Refugees,10403951
2011,IDPs,15473378
2012,Refugees,10497028
2012,IDPs,17670368
2013,Refugees,11698238
2013,IDPs,23925555
2014,Refugees,14384302
2014,IDPs,32274619
2015,Refugees,16110280
2015,IDPs,37494172
2016,Refugees,17184291
2016,IDPs,36627127
2017,Refugees,19940568
2017,IDPs,39118516
2018,Refugees,20359556
2018,IDPs,41425168
2019,Refugees,20414675
2019,IDPs,43503362
2020,Refugees,20661855
2020,IDPs,48557439
2021,Refugees,20835367
2021,IDPs,50872901
