months,funding_type,funding_million
Jan,Unearmarked,15.1
Feb,Unearmarked,15.3
Mar,Unearmarked,11.9
Apr,Unearmarked,15.7
May,Unearmarked,22.8
Jun,Unearmarked,29.1
Jul,Unearmarked,41.5
Aug,Unearmarked,58
Sep,Unearmarked,62.6
Oct,Unearmarked,69.3
Nov,Unearmarked,76.6
Dec,Unearmarked,99.8
Jan,Softly earmarked,0.6
Feb,Softly earmarked,3.9
Mar,Softly earmarked,7.6
Apr,Softly earmarked,9.8
May,Softly earmarked,14.8
Jun,Softly earmarked,18
Jul,Softly earmarked,61.9
Aug,Softly earmarked,61.6
Sep,Softly earmarked,78.2
Oct,Softly earmarked,81.3
Nov,Softly earmarked,83.5
Dec,Softly earmarked,102.1
Jan,Earmarked,1.6
Feb,Earmarked,1.7
Mar,Earmarked,20.1
Apr,Earmarked,41.8
May,Earmarked,34
Jun,Earmarked,34.6
Jul,Earmarked,126.6
Aug,Earmarked,118.1
Sep,Earmarked,130.1
Oct,Earmarked,146.6
Nov,Earmarked,145.7
Dec,Earmarked,145.7
Jan,Tightly earmarked,19.2
Feb,Tightly earmarked,21.9
Mar,Tightly earmarked,22.8
Apr,Tightly earmarked,39.8
May,Tightly earmarked,51.3
Jun,Tightly earmarked,53.7
Jul,Tightly earmarked,63.7
Aug,Tightly earmarked,92.9
Sep,Tightly earmarked,86
Oct,Tightly earmarked,88.8
Nov,Tightly earmarked,95.8
Dec,Tightly earmarked,107.3
