date_of_update,region,cari
01-05-2020,central_america,62.5
01-06-2020,central_america,53.13
01-07-2020,central_america,53.13
01-08-2020,central_america,53.13
01-09-2020,central_america,46.88
01-10-2020,central_america,43.75
01-11-2020,central_america,43.75
01-12-2020,central_america,43.75
01-01-2021,central_america,40.63
01-02-2021,central_america,37.5
01-03-2021,central_america,37.5
01-04-2021,central_america,40.63
01-05-2021,central_america,37.5
01-06-2021,central_america,37.5
01-07-2021,central_america,40.63
01-08-2021,central_america,40.63
01-09-2021,central_america,40.63
01-10-2021,central_america,40.63
01-11-2021,central_america,40.63
01-12-2021,central_america,40.63
01-01-2022,central_america,40.63
01-04-2022,central_america,34.38
01-05-2020,northern_america,37.5
01-06-2020,northern_america,62.5
01-07-2020,northern_america,62.5
01-08-2020,northern_america,62.5
01-09-2020,northern_america,62.5
01-10-2020,northern_america,62.5
01-11-2020,northern_america,62.5
01-12-2020,northern_america,62.5
01-01-2021,northern_america,62.5
01-02-2021,northern_america,62.5
01-03-2021,northern_america,62.5
01-04-2021,northern_america,62.5
01-05-2021,northern_america,62.5
01-06-2021,northern_america,62.5
01-07-2021,northern_america,62.5
01-08-2021,northern_america,62.5
01-09-2021,northern_america,62.5
01-10-2021,northern_america,62.5
01-11-2021,northern_america,62.5
01-12-2021,northern_america,62.5
01-01-2022,northern_america,62.5
01-04-2022,northern_america,62.5
01-05-2020,south_america,91.67
01-06-2020,south_america,87.5
01-07-2020,south_america,85.42
01-08-2020,south_america,87.5
01-09-2020,south_america,87.5
01-10-2020,south_america,85.42
01-11-2020,south_america,83.33
01-12-2020,south_america,72.92
01-01-2021,south_america,79.17
01-02-2021,south_america,75.0
01-03-2021,south_america,72.92
01-04-2021,south_america,70.83
01-05-2021,south_america,70.83
01-06-2021,south_america,66.67
01-07-2021,south_america,62.5
01-08-2021,south_america,62.5
01-09-2021,south_america,62.5
01-10-2021,south_america,62.5
01-11-2021,south_america,66.67
01-12-2021,south_america,66.67
01-01-2022,south_america,66.67
01-04-2022,south_america,56.25
01-05-2020,eastern_africa,73.61
01-06-2020,eastern_africa,72.22
01-07-2020,eastern_africa,70.83
01-08-2020,eastern_africa,65.28
01-09-2020,eastern_africa,63.89
01-10-2020,eastern_africa,63.89
01-11-2020,eastern_africa,61.11
01-12-2020,eastern_africa,61.11
01-01-2021,eastern_africa,59.72
01-02-2021,eastern_africa,62.5
01-03-2021,eastern_africa,63.89
01-04-2021,eastern_africa,63.89
01-05-2021,eastern_africa,58.33
01-06-2021,eastern_africa,58.33
01-07-2021,eastern_africa,58.33
01-08-2021,eastern_africa,54.17
01-09-2021,eastern_africa,48.61
01-10-2021,eastern_africa,50.0
01-11-2021,eastern_africa,50.0
01-12-2021,eastern_africa,50.0
01-01-2022,eastern_africa,44.44
01-04-2022,eastern_africa,41.67
01-05-2020,northern_africa,75.0
01-06-2020,northern_africa,91.67
01-07-2020,northern_africa,91.67
01-08-2020,northern_africa,87.5
01-09-2020,northern_africa,83.33
01-10-2020,northern_africa,87.5
01-11-2020,northern_africa,87.5
01-12-2020,northern_africa,87.5
01-01-2021,northern_africa,79.17
01-02-2021,northern_africa,62.5
01-03-2021,northern_africa,54.17
01-04-2021,northern_africa,54.17
01-05-2021,northern_africa,50.0
01-06-2021,northern_africa,50.0
01-07-2021,northern_africa,41.67
01-08-2021,northern_africa,41.67
01-09-2021,northern_africa,41.67
01-10-2021,northern_africa,41.67
01-11-2021,northern_africa,33.33
01-12-2021,northern_africa,33.33
01-01-2022,northern_africa,41.67
01-04-2022,northern_africa,33.33
01-05-2020,southern_europe,50.0
01-06-2020,southern_europe,43.75
01-07-2020,southern_europe,43.75
01-08-2020,southern_europe,41.67
01-09-2020,southern_europe,37.5
01-10-2020,southern_europe,37.5
01-11-2020,southern_europe,37.5
01-12-2020,southern_europe,37.5
01-01-2021,southern_europe,37.5
01-02-2021,southern_europe,37.5
01-03-2021,southern_europe,37.5
01-04-2021,southern_europe,37.5
01-05-2021,southern_europe,36.54
01-06-2021,southern_europe,34.62
01-07-2021,southern_europe,32.69
01-08-2021,southern_europe,30.77
01-09-2021,southern_europe,30.77
01-10-2021,southern_europe,30.77
01-11-2021,southern_europe,31.25
01-12-2021,southern_europe,31.25
01-01-2022,southern_europe,29.17
01-04-2022,southern_europe,27.08
01-05-2020,western_africa,80.88
01-06-2020,western_africa,78.13
01-07-2020,western_africa,56.25
01-08-2020,western_africa,54.69
01-09-2020,western_africa,51.56
01-10-2020,western_africa,35.94
01-11-2020,western_africa,42.19
01-12-2020,western_africa,42.19
01-01-2021,western_africa,42.19
01-02-2021,western_africa,39.06
01-03-2021,western_africa,39.06
01-04-2021,western_africa,39.06
01-05-2021,western_africa,41.67
01-06-2021,western_africa,41.67
01-07-2021,western_africa,41.67
01-08-2021,western_africa,40.0
01-09-2021,western_africa,36.67
01-10-2021,western_africa,35.0
01-11-2021,western_africa,35.94
01-12-2021,western_africa,31.25
01-01-2022,western_africa,28.13
01-04-2022,western_africa,26.56
01-05-2020,western_asia,64.71
01-06-2020,western_asia,73.53
01-07-2020,western_asia,83.82
01-08-2020,western_asia,83.82
01-09-2020,western_asia,83.82
01-10-2020,western_asia,83.82
01-11-2020,western_asia,83.82
01-12-2020,western_asia,80.88
01-01-2021,western_asia,80.88
01-02-2021,western_asia,79.41
01-03-2021,western_asia,75.0
01-04-2021,western_asia,72.06
01-05-2021,western_asia,72.06
01-06-2021,western_asia,67.65
01-07-2021,western_asia,60.29
01-08-2021,western_asia,55.88
01-09-2021,western_asia,55.88
01-10-2021,western_asia,58.82
01-11-2021,western_asia,58.82
01-12-2021,western_asia,55.88
01-01-2022,western_asia,52.94
01-04-2022,western_asia,42.65
01-05-2020,western_europe,40.63
01-06-2020,western_europe,34.38
01-07-2020,western_europe,34.38
01-08-2020,western_europe,31.25
01-09-2020,western_europe,31.25
01-10-2020,western_europe,31.25
01-11-2020,western_europe,31.25
01-12-2020,western_europe,37.5
01-01-2021,western_europe,37.5
01-02-2021,western_europe,37.5
01-03-2021,western_europe,37.5
01-04-2021,western_europe,37.5
01-05-2021,western_europe,37.5
01-06-2021,western_europe,31.25
01-07-2021,western_europe,31.25
01-08-2021,western_europe,31.25
01-09-2021,western_europe,31.25
