"adm1_en","adm1_pcode","lon","lat","idp_tot","ret_tot"
"Badakhshan","AF17",73.34394911600346,36.96687911300006,85310,172
"Badghis","AF31",63.601751420693574,35.27200488400004,163849,1603
"Baghlan","AF09",69.07539453065499,35.77651391750004,121354,20090
"Balkh","AF21",66.98529786979569,36.53478054450005,94900,9745
"Bamyan","AF10",67.06784559204603,34.65807022200008,62769,54
"Daykundi","AF24",66.40431451128968,33.697835529500054,11367,42
"Farah","AF33",62.39383134440156,32.521757478500035,84615,4909
"Faryab","AF29",64.76537547402084,36.198146159500055,194933,3542
"Ghazni","AF11",67.732823845451,33.11886121900005,85515,6221
"Ghor","AF23",64.53372796352396,34.20372224050004,93248,51
"Hilmand","AF30",64.00541831710257,31.529516492000027,261482,17436
"Hirat","AF32",61.978330924457,34.15624317450005,209694,5075
"Jawzjan","AF28",65.9150225515849,36.733268424000045,35886,4615
"Kabul","AF01",69.34201244971834,34.53928947350005,110766,49522
"Kandahar","AF27",65.67924208029619,31.04135596750004,151910,86977
"Kapisa","AF02",69.74679752542328,34.906397687000066,25282,1026
"Khost","AF14",69.9093194167682,33.37001330500004,45105,3321
"Kunar","AF15",71.05651088387522,34.95573277700004,116626,36037
"Kunduz","AF19",68.67370112835037,36.84059740050003,350956,37531
"Laghman","AF07",70.26942304650007,34.82224072500006,39896,25642
"Logar","AF05",69.1635970352543,33.98214077550003,24507,5198
"Nangarhar","AF06",70.39411305175094,34.373924342000066,329409,152472
"Nimroz","AF34",62.445945833782694,30.81149165800005,5520,1216
"Nuristan","AF16",71.24628528552027,35.47936743200006,142,492
"Paktya","AF13",69.28301787354201,33.61862472800004,23360,6876
"Paktika","AF12",68.65984729145305,32.506628141500045,28771,3442
"Panjsher","AF08",69.88186223660502,35.48278862050003,1244,15
"Parwan","AF03",68.75368653562612,35.00258834600004,7152,3494
"Samangan","AF20",67.69367830194983,35.98778315900003,23681,1162
"Sar-e-Pul","AF22",66.09759991853997,35.684819728000065,61807,3337
"Takhar","AF18",69.63522573003618,36.70384090150003,224220,6620
"Uruzgan","AF25",66.06709693399176,32.980296854000045,103569,4415
"Maidan Wardak","AF04",68.12875163464807,34.22815502350005,39827,456
"Zabul","AF26",67.01333077522315,32.274065658500035,35330,8522
