date,category,value,position
02/10/2023,Awareness raising,0,100
03/10/2023,Awareness raising,2,100
04/10/2023,Awareness raising,2,100
05/10/2023,Awareness raising,2,100
06/10/2023,Awareness raising,0,100
07/10/2023,Awareness raising,2,100
08/10/2023,Awareness raising,1,100
09/10/2023,Awareness raising,0,100
10/10/2023,Awareness raising,0,100
11/10/2023,Awareness raising,0,100
12/10/2023,Awareness raising,1,100
13/10/2023,Awareness raising,0,100
14/10/2023,Awareness raising,0,100
15/10/2023,Awareness raising,0,100
16/10/2023,Awareness raising,1,100
17/10/2023,Awareness raising,1,100
18/10/2023,Awareness raising,1,100
19/10/2023,Awareness raising,0,100
20/10/2023,Awareness raising,0,100
21/10/2023,Awareness raising,0,100
22/10/2023,Awareness raising,0,100
23/10/2023,Awareness raising,0,100
24/10/2023,Awareness raising,17,100
25/10/2023,Awareness raising,2,100
26/10/2023,Awareness raising,1,100
27/10/2023,Awareness raising,1,100
28/10/2023,Awareness raising,1,100
29/10/2023,Awareness raising,4,100
30/10/2023,Awareness raising,1,100
31/10/2023,Awareness raising,2,100
01/11/2023,Awareness raising,2,100
02/11/2023,Awareness raising,1,100
03/11/2023,Awareness raising,4,100
04/11/2023,Awareness raising,9,100
05/11/2023,Awareness raising,3,100
06/11/2023,Awareness raising,2,100
07/11/2023,Awareness raising,2,100
08/11/2023,Awareness raising,0,100
09/11/2023,Awareness raising,0,100
10/11/2023,Awareness raising,2,100
11/11/2023,Awareness raising,3,100
12/11/2023,Awareness raising,1,100
13/11/2023,Awareness raising,6,100
14/11/2023,Awareness raising,7,100
15/11/2023,Awareness raising,4,100
16/11/2023,Awareness raising,3,100
17/11/2023,Awareness raising,1,100
18/11/2023,Awareness raising,2,100
19/11/2023,Awareness raising,0,100
20/11/2023,Awareness raising,0,100
21/11/2023,Awareness raising,0,100
22/11/2023,Awareness raising,3,100
23/11/2023,Awareness raising,0,100
24/11/2023,Awareness raising,4,100
25/11/2023,Awareness raising,1,100
26/11/2023,Awareness raising,1,100
27/11/2023,Awareness raising,3,100
28/11/2023,Awareness raising,0,100
29/11/2023,Awareness raising,0,100
30/11/2023,Awareness raising,0,100
01/12/2023,Awareness raising,0,100
02/12/2023,Awareness raising,0,100
03/12/2023,Awareness raising,0,100
04/12/2023,Awareness raising,0,100
05/12/2023,Awareness raising,0,100
06/12/2023,Awareness raising,0,100
07/12/2023,Awareness raising,0,100
08/12/2023,Awareness raising,0,100
09/12/2023,Awareness raising,0,100
10/12/2023,Awareness raising,0,100
11/12/2023,Awareness raising,0,100
12/12/2023,Awareness raising,0,100
13/12/2023,Awareness raising,0,100
14/12/2023,Awareness raising,0,100
15/12/2023,Awareness raising,2,100
16/12/2023,Awareness raising,0,100
17/12/2023,Awareness raising,0,100
18/12/2023,Awareness raising,1,100
19/12/2023,Awareness raising,1,100
20/12/2023,Awareness raising,0,100
21/12/2023,Awareness raising,0,100
22/12/2023,Awareness raising,0,100
23/12/2023,Awareness raising,0,100
24/12/2023,Awareness raising,0,100
25/12/2023,Awareness raising,0,100
26/12/2023,Awareness raising,3,100
27/12/2023,Awareness raising,0,100
02/10/2023,Complications experienced,0,85
03/10/2023,Complications experienced,0,85
04/10/2023,Complications experienced,0,85
05/10/2023,Complications experienced,3,85
06/10/2023,Complications experienced,1,85
07/10/2023,Complications experienced,0,85
08/10/2023,Complications experienced,0,85
09/10/2023,Complications experienced,1,85
10/10/2023,Complications experienced,0,85
11/10/2023,Complications experienced,1,85
12/10/2023,Complications experienced,0,85
13/10/2023,Complications experienced,0,85
14/10/2023,Complications experienced,0,85
15/10/2023,Complications experienced,0,85
16/10/2023,Complications experienced,0,85
17/10/2023,Complications experienced,0,85
18/10/2023,Complications experienced,0,85
19/10/2023,Complications experienced,0,85
20/10/2023,Complications experienced,2,85
21/10/2023,Complications experienced,0,85
22/10/2023,Complications experienced,0,85
23/10/2023,Complications experienced,1,85
24/10/2023,Complications experienced,0,85
25/10/2023,Complications experienced,2,85
26/10/2023,Complications experienced,1,85
27/10/2023,Complications experienced,0,85
28/10/2023,Complications experienced,0,85
29/10/2023,Complications experienced,0,85
30/10/2023,Complications experienced,0,85
31/10/2023,Complications experienced,0,85
01/11/2023,Complications experienced,1,85
02/11/2023,Complications experienced,4,85
03/11/2023,Complications experienced,3,85
04/11/2023,Complications experienced,6,85
05/11/2023,Complications experienced,0,85
06/11/2023,Complications experienced,0,85
07/11/2023,Complications experienced,2,85
08/11/2023,Complications experienced,2,85
09/11/2023,Complications experienced,2,85
10/11/2023,Complications experienced,1,85
11/11/2023,Complications experienced,1,85
12/11/2023,Complications experienced,1,85
13/11/2023,Complications experienced,1,85
14/11/2023,Complications experienced,8,85
15/11/2023,Complications experienced,16,85
16/11/2023,Complications experienced,3,85
17/11/2023,Complications experienced,3,85
18/11/2023,Complications experienced,3,85
19/11/2023,Complications experienced,1,85
20/11/2023,Complications experienced,1,85
21/11/2023,Complications experienced,2,85
22/11/2023,Complications experienced,3,85
23/11/2023,Complications experienced,4,85
24/11/2023,Complications experienced,6,85
25/11/2023,Complications experienced,5,85
26/11/2023,Complications experienced,1,85
27/11/2023,Complications experienced,1,85
28/11/2023,Complications experienced,1,85
29/11/2023,Complications experienced,0,85
30/11/2023,Complications experienced,0,85
01/12/2023,Complications experienced,0,85
02/12/2023,Complications experienced,2,85
03/12/2023,Complications experienced,0,85
04/12/2023,Complications experienced,2,85
05/12/2023,Complications experienced,0,85
06/12/2023,Complications experienced,1,85
07/12/2023,Complications experienced,2,85
08/12/2023,Complications experienced,0,85
09/12/2023,Complications experienced,2,85
10/12/2023,Complications experienced,0,85
11/12/2023,Complications experienced,2,85
12/12/2023,Complications experienced,0,85
13/12/2023,Complications experienced,0,85
14/12/2023,Complications experienced,5,85
15/12/2023,Complications experienced,5,85
16/12/2023,Complications experienced,0,85
17/12/2023,Complications experienced,0,85
18/12/2023,Complications experienced,0,85
19/12/2023,Complications experienced,2,85
20/12/2023,Complications experienced,1,85
21/12/2023,Complications experienced,1,85
22/12/2023,Complications experienced,0,85
23/12/2023,Complications experienced,0,85
24/12/2023,Complications experienced,0,85
25/12/2023,Complications experienced,1,85
26/12/2023,Complications experienced,0,85
27/12/2023,Complications experienced,0,85
02/10/2023,Humanitarian situation,1,70
03/10/2023,Humanitarian situation,5,70
04/10/2023,Humanitarian situation,8,70
05/10/2023,Humanitarian situation,11,70
06/10/2023,Humanitarian situation,10,70
07/10/2023,Humanitarian situation,17,70
08/10/2023,Humanitarian situation,15,70
09/10/2023,Humanitarian situation,9,70
10/10/2023,Humanitarian situation,6,70
11/10/2023,Humanitarian situation,8,70
12/10/2023,Humanitarian situation,6,70
13/10/2023,Humanitarian situation,5,70
14/10/2023,Humanitarian situation,7,70
15/10/2023,Humanitarian situation,2,70
16/10/2023,Humanitarian situation,4,70
17/10/2023,Humanitarian situation,5,70
18/10/2023,Humanitarian situation,3,70
19/10/2023,Humanitarian situation,5,70
20/10/2023,Humanitarian situation,5,70
21/10/2023,Humanitarian situation,4,70
22/10/2023,Humanitarian situation,5,70
23/10/2023,Humanitarian situation,11,70
24/10/2023,Humanitarian situation,8,70
25/10/2023,Humanitarian situation,10,70
26/10/2023,Humanitarian situation,5,70
27/10/2023,Humanitarian situation,5,70
28/10/2023,Humanitarian situation,14,70
29/10/2023,Humanitarian situation,17,70
30/10/2023,Humanitarian situation,9,70
31/10/2023,Humanitarian situation,39,70
01/11/2023,Humanitarian situation,82,70
02/11/2023,Humanitarian situation,73,70
03/11/2023,Humanitarian situation,43,70
04/11/2023,Humanitarian situation,30,70
05/11/2023,Humanitarian situation,20,70
06/11/2023,Humanitarian situation,30,70
07/11/2023,Humanitarian situation,23,70
08/11/2023,Humanitarian situation,38,70
09/11/2023,Humanitarian situation,20,70
10/11/2023,Humanitarian situation,39,70
11/11/2023,Humanitarian situation,24,70
12/11/2023,Humanitarian situation,28,70
13/11/2023,Humanitarian situation,22,70
14/11/2023,Humanitarian situation,12,70
15/11/2023,Humanitarian situation,10,70
16/11/2023,Humanitarian situation,9,70
17/11/2023,Humanitarian situation,12,70
18/11/2023,Humanitarian situation,9,70
19/11/2023,Humanitarian situation,5,70
20/11/2023,Humanitarian situation,15,70
21/11/2023,Humanitarian situation,8,70
22/11/2023,Humanitarian situation,4,70
23/11/2023,Humanitarian situation,9,70
24/11/2023,Humanitarian situation,5,70
25/11/2023,Humanitarian situation,10,70
26/11/2023,Humanitarian situation,4,70
27/11/2023,Humanitarian situation,8,70
28/11/2023,Humanitarian situation,3,70
29/11/2023,Humanitarian situation,6,70
30/11/2023,Humanitarian situation,13,70
01/12/2023,Humanitarian situation,8,70
02/12/2023,Humanitarian situation,7,70
03/12/2023,Humanitarian situation,1,70
04/12/2023,Humanitarian situation,5,70
05/12/2023,Humanitarian situation,8,70
06/12/2023,Humanitarian situation,5,70
07/12/2023,Humanitarian situation,5,70
08/12/2023,Humanitarian situation,6,70
09/12/2023,Humanitarian situation,7,70
10/12/2023,Humanitarian situation,1,70
11/12/2023,Humanitarian situation,3,70
12/12/2023,Humanitarian situation,5,70
13/12/2023,Humanitarian situation,8,70
14/12/2023,Humanitarian situation,3,70
15/12/2023,Humanitarian situation,5,70
16/12/2023,Humanitarian situation,6,70
17/12/2023,Humanitarian situation,5,70
18/12/2023,Humanitarian situation,5,70
19/12/2023,Humanitarian situation,5,70
20/12/2023,Humanitarian situation,3,70
21/12/2023,Humanitarian situation,6,70
22/12/2023,Humanitarian situation,5,70
23/12/2023,Humanitarian situation,2,70
24/12/2023,Humanitarian situation,1,70
25/12/2023,Humanitarian situation,0,70
26/12/2023,Humanitarian situation,2,70
27/12/2023,Humanitarian situation,5,70
02/10/2023,Mentions of int org,2,55
03/10/2023,Mentions of int org,0,55
04/10/2023,Mentions of int org,4,55
05/10/2023,Mentions of int org,6,55
06/10/2023,Mentions of int org,12,55
07/10/2023,Mentions of int org,16,55
08/10/2023,Mentions of int org,12,55
09/10/2023,Mentions of int org,3,55
10/10/2023,Mentions of int org,3,55
11/10/2023,Mentions of int org,1,55
12/10/2023,Mentions of int org,1,55
13/10/2023,Mentions of int org,0,55
14/10/2023,Mentions of int org,0,55
15/10/2023,Mentions of int org,0,55
16/10/2023,Mentions of int org,1,55
17/10/2023,Mentions of int org,3,55
18/10/2023,Mentions of int org,3,55
19/10/2023,Mentions of int org,2,55
20/10/2023,Mentions of int org,4,55
21/10/2023,Mentions of int org,1,55
22/10/2023,Mentions of int org,1,55
23/10/2023,Mentions of int org,3,55
24/10/2023,Mentions of int org,2,55
25/10/2023,Mentions of int org,2,55
26/10/2023,Mentions of int org,8,55
27/10/2023,Mentions of int org,10,55
28/10/2023,Mentions of int org,5,55
29/10/2023,Mentions of int org,7,55
30/10/2023,Mentions of int org,4,55
31/10/2023,Mentions of int org,1,55
01/11/2023,Mentions of int org,13,55
02/11/2023,Mentions of int org,13,55
03/11/2023,Mentions of int org,15,55
04/11/2023,Mentions of int org,9,55
05/11/2023,Mentions of int org,12,55
06/11/2023,Mentions of int org,8,55
07/11/2023,Mentions of int org,11,55
08/11/2023,Mentions of int org,3,55
09/11/2023,Mentions of int org,2,55
10/11/2023,Mentions of int org,3,55
11/11/2023,Mentions of int org,3,55
12/11/2023,Mentions of int org,2,55
13/11/2023,Mentions of int org,4,55
14/11/2023,Mentions of int org,2,55
15/11/2023,Mentions of int org,6,55
16/11/2023,Mentions of int org,7,55
17/11/2023,Mentions of int org,2,55
18/11/2023,Mentions of int org,4,55
19/11/2023,Mentions of int org,4,55
20/11/2023,Mentions of int org,4,55
21/11/2023,Mentions of int org,4,55
22/11/2023,Mentions of int org,9,55
23/11/2023,Mentions of int org,2,55
24/11/2023,Mentions of int org,0,55
25/11/2023,Mentions of int org,3,55
26/11/2023,Mentions of int org,3,55
27/11/2023,Mentions of int org,2,55
28/11/2023,Mentions of int org,5,55
29/11/2023,Mentions of int org,5,55
30/11/2023,Mentions of int org,1,55
01/12/2023,Mentions of int org,5,55
02/12/2023,Mentions of int org,1,55
03/12/2023,Mentions of int org,4,55
04/12/2023,Mentions of int org,2,55
05/12/2023,Mentions of int org,5,55
06/12/2023,Mentions of int org,3,55
07/12/2023,Mentions of int org,1,55
08/12/2023,Mentions of int org,3,55
09/12/2023,Mentions of int org,3,55
10/12/2023,Mentions of int org,3,55
11/12/2023,Mentions of int org,4,55
12/12/2023,Mentions of int org,4,55
13/12/2023,Mentions of int org,5,55
14/12/2023,Mentions of int org,1,55
15/12/2023,Mentions of int org,3,55
16/12/2023,Mentions of int org,1,55
17/12/2023,Mentions of int org,9,55
18/12/2023,Mentions of int org,3,55
19/12/2023,Mentions of int org,3,55
20/12/2023,Mentions of int org,1,55
21/12/2023,Mentions of int org,3,55
22/12/2023,Mentions of int org,1,55
23/12/2023,Mentions of int org,1,55
24/12/2023,Mentions of int org,1,55
25/12/2023,Mentions of int org,2,55
26/12/2023,Mentions of int org,0,55
27/12/2023,Mentions of int org,1,55
02/10/2023,Pakistan Narrative,4,40
03/10/2023,Pakistan Narrative,9,40
04/10/2023,Pakistan Narrative,19,40
05/10/2023,Pakistan Narrative,28,40
06/10/2023,Pakistan Narrative,33,40
07/10/2023,Pakistan Narrative,23,40
08/10/2023,Pakistan Narrative,17,40
09/10/2023,Pakistan Narrative,13,40
10/10/2023,Pakistan Narrative,17,40
11/10/2023,Pakistan Narrative,10,40
12/10/2023,Pakistan Narrative,11,40
13/10/2023,Pakistan Narrative,10,40
14/10/2023,Pakistan Narrative,11,40
15/10/2023,Pakistan Narrative,5,40
16/10/2023,Pakistan Narrative,4,40
17/10/2023,Pakistan Narrative,6,40
18/10/2023,Pakistan Narrative,7,40
19/10/2023,Pakistan Narrative,9,40
20/10/2023,Pakistan Narrative,4,40
21/10/2023,Pakistan Narrative,3,40
22/10/2023,Pakistan Narrative,3,40
23/10/2023,Pakistan Narrative,3,40
24/10/2023,Pakistan Narrative,4,40
25/10/2023,Pakistan Narrative,16,40
26/10/2023,Pakistan Narrative,7,40
27/10/2023,Pakistan Narrative,15,40
28/10/2023,Pakistan Narrative,4,40
29/10/2023,Pakistan Narrative,3,40
30/10/2023,Pakistan Narrative,14,40
31/10/2023,Pakistan Narrative,8,40
01/11/2023,Pakistan Narrative,26,40
02/11/2023,Pakistan Narrative,27,40
03/11/2023,Pakistan Narrative,26,40
04/11/2023,Pakistan Narrative,16,40
05/11/2023,Pakistan Narrative,4,40
06/11/2023,Pakistan Narrative,22,40
07/11/2023,Pakistan Narrative,9,40
08/11/2023,Pakistan Narrative,27,40
09/11/2023,Pakistan Narrative,20,40
10/11/2023,Pakistan Narrative,29,40
11/11/2023,Pakistan Narrative,12,40
12/11/2023,Pakistan Narrative,20,40
13/11/2023,Pakistan Narrative,10,40
14/11/2023,Pakistan Narrative,13,40
15/11/2023,Pakistan Narrative,6,40
16/11/2023,Pakistan Narrative,10,40
17/11/2023,Pakistan Narrative,6,40
18/11/2023,Pakistan Narrative,13,40
19/11/2023,Pakistan Narrative,8,40
20/11/2023,Pakistan Narrative,12,40
21/11/2023,Pakistan Narrative,19,40
22/11/2023,Pakistan Narrative,15,40
23/11/2023,Pakistan Narrative,11,40
24/11/2023,Pakistan Narrative,9,40
25/11/2023,Pakistan Narrative,6,40
26/11/2023,Pakistan Narrative,6,40
27/11/2023,Pakistan Narrative,3,40
28/11/2023,Pakistan Narrative,11,40
29/11/2023,Pakistan Narrative,3,40
30/11/2023,Pakistan Narrative,4,40
01/12/2023,Pakistan Narrative,11,40
02/12/2023,Pakistan Narrative,9,40
03/12/2023,Pakistan Narrative,5,40
04/12/2023,Pakistan Narrative,9,40
05/12/2023,Pakistan Narrative,4,40
06/12/2023,Pakistan Narrative,4,40
07/12/2023,Pakistan Narrative,9,40
08/12/2023,Pakistan Narrative,8,40
09/12/2023,Pakistan Narrative,18,40
10/12/2023,Pakistan Narrative,10,40
11/12/2023,Pakistan Narrative,3,40
12/12/2023,Pakistan Narrative,3,40
13/12/2023,Pakistan Narrative,3,40
