iso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,665156.0,184269.0,159549.0,142505.0,129310.0,153718.0,230670.0,297129.0,351907.0,447547.0,486298.0,631286.0,805409.0,1174306.0,1797551.0,1837079.0,2106893.0,2553390.0,2886317.0,3457744.0,3254002.0,3252741.0
AGO,188728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,577179.0,575609.0,578545.0,578545.0,686586.0,686586.0,603251.0,586013.0,592860.0,599192.0,600336.0,609029.0,622892.0,618220.0,613129.0,612785.0,620423.0,652326.0,653921.0,654839.0,658793.0,658793.0
BDI,100000.0,1970.0,855.0,11500.0,13850.0,0.0,100000.0,100000.0,157167.0,78796.0,78948.0,78948.0,78948.0,25000.0,141221.0,57258.0,31909.0,33256.0,21863.0,19176.0,8495.0,8177.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,47030.0,560033.0,1074993.0,1579976.0,1882391.0,2062534.0
BIH,367491.0,327188.0,309240.0,182747.0,135500.0,130984.0,124529.0,113642.0,113365.0,113000.0,103449.0,84500.0,84500.0,98324.0,98324.0,98574.0,96830.0,96421.0,96305.0,96305.0,96305.0,96305.0
CAF,0.0,0.0,0.0,0.0,147000.0,197000.0,197000.0,197000.0,192529.0,105206.0,51679.0,894421.0,438538.0,216392.0,411785.0,688700.0,640970.0,669906.0,681930.0,691791.0,515665.0,485825.0
CIV,100000.0,38039.0,38039.0,38039.0,709228.0,709048.0,683956.0,519140.0,514515.0,126668.0,45000.0,24000.0,24000.0,308272.0,0.0,0.0,0.0,0.0,5394.0,0.0,0.0,0.0
CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92657.0,198889.0,221695.0,668494.0,950263.0,1032942.0,933138.0,989079.0,1027295.0
COD,9000.0,0.0,0.0,0.0,1075297.0,1317879.0,1460102.0,2052677.0,1721382.0,1709278.0,2669069.0,2963799.0,2756585.0,1555112.0,2232900.0,4351376.0,4516866.0,5014253.0,5198131.0,5407840.0,5541021.0,5969254.0
COG,0.0,0.0,0.0,0.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15303.0,107828.0,138000.0,134430.0,134430.0,134430.0,26875.0,0.0
COL,950000.0,1244072.0,2000000.0,2000000.0,3000000.0,3000000.0,3000000.0,3303979.0,3672054.0,3888309.0,3943509.0,5368138.0,6044151.0,6939067.0,7410816.0,7677609.0,7816473.0,7976412.0,8252788.0,6766002.0,6834492.0,6886426.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078429.0,2615800.0,1733628.0,2733628.0,3646267.0,2730000.0,2123435.0
