iso,imp_ins_nat,imp_ins_sub,imp_ins,law_nat,law_sub,law,pol_str_nat,pol_str_sub,pol_str,all_nat,all_sub,all
AFG,1,0,1,0,0,0,6,0,1,7,0,1
AGO,0,0,0,0,0,0,2,0,1,2,0,1
ARM,1,0,1,0,0,0,0,0,0,1,0,1
AZE,6,0,1,3,0,1,2,0,1,11,0,1
BDI,2,0,1,0,0,0,3,0,1,5,0,1
BGD,0,0,0,0,0,0,1,0,1,1,0,1
BIH,3,5,1,2,6,1,2,0,1,7,11,1
CAF,1,0,1,0,0,0,1,0,1,2,0,1
COD,1,1,1,0,0,0,0,1,1,1,2,1
COL,51,0,1,2,0,1,6,0,1,59,0,1
ETH,0,0,0,0,0,0,0,2,1,0,2,1
FJI,0,0,0,0,0,0,1,0,1,1,0,1
GEO,9,1,1,2,0,1,6,0,1,17,1,1
GTM,4,0,1,0,0,0,0,0,0,4,0,1
HND,1,0,1,1,0,1,0,0,0,2,0,1
HRV,1,0,1,1,0,1,1,0,1,3,0,1
IDN,0,0,0,0,0,0,2,0,1,2,0,1
IRQ,2,0,1,0,0,0,2,0,1,4,0,1
KEN,0,0,0,1,0,1,0,0,0,1,0,1
KGZ,0,1,1,1,0,1,0,0,0,1,1,1
LBN,15,0,1,0,0,0,0,0,0,15,0,1
LBR,2,0,1,0,0,0,1,0,1,3,0,1
LKA,0,1,1,0,0,0,1,0,1,1,1,1
MDV,0,0,0,0,0,0,1,0,1,1,0,1
MEX,7,4,1,0,4,1,0,0,0,7,8,1
MLI,0,0,0,0,0,0,1,0,1,1,0,1
MMR,0,0,0,0,0,0,1,0,1,1,0,1
MNE,3,0,1,0,0,0,3,0,1,6,0,1
MOZ,0,0,0,0,0,0,1,0,1,1,0,1
MWI,0,0,0,0,0,0,1,0,1,1,0,1
NER,2,0,1,1,0,1,0,0,0,3,0,1
NGA,2,0,1,0,0,0,1,4,1,3,4,1
NPL,0,0,0,0,0,0,3,0,1,3,0,1
PAK,0,0,0,0,0,0,0,1,1,0,1,1
PER,4,0,1,1,0,1,3,0,1,8,0,1
PHL,3,10,1,0,11,1,0,0,0,3,21,1
RUS,3,0,1,2,0,1,0,0,0,5,0,1
SDN,0,0,0,0,0,0,1,0,1,1,0,1
SLE,0,0,0,0,0,0,1,0,1,1,0,1
SLV,1,0,1,1,0,1,0,0,0,2,0,1
SOM,1,0,1,0,0,0,2,6,1,3,6,1
SRB,1,0,1,0,0,0,3,3,1,4,3,1
SSD,0,0,0,0,0,0,1,0,1,1,0,1
TCD,0,0,0,1,0,1,0,0,0,1,0,1
TJK,1,0,1,1,0,1,0,0,0,2,0,1
TLS,0,0,0,0,0,0,1,0,1,1,0,1
TUR,0,0,0,0,0,0,1,1,1,1,1,1
UGA,0,0,0,0,0,0,1,1,1,1,1,1
UKR,14,0,1,1,0,1,5,0,1,20,0,1
VUT,0,0,0,0,0,0,1,0,1,1,0,1
YEM,0,0,0,0,0,0,1,0,1,1,0,1
ZMB,1,0,1,0,0,0,1,0,1,2,0,1
