iso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,665156,184269,159549,142505,129310,153718,230670,297129,351907,447547,486298,631286,805409,1174306,1797551,1837079,2106893,2553390,2886317,3457744,3254002,3222397
AGO,188728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,577179,575609,578545,578545,686586,686586,603251,586013,592860,599192,600336,609029,622892,618220,613129,612785,620423,652326,653921,654839,658793,657749
BDI,100000,1970,855,11500,13850,0,100000,100000,157167,78796,78948,78948,78948,25000,141221,57258,31909,33256,21863,19176,8495,8177
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8785
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350,47030,560033,1074993,1579976,1882391,2062534
BIH,367491,327188,309240,182747,135500,130984,124529,113642,113365,113000,103449,84500,84500,98324,98324,98574,96830,96421,96305,96305,96305,91223
CAF,0,0,0,0,147000,197000,197000,197000,192529,105206,51679,894421,438538,216392,411785,688700,640970,669906,681930,691791,515665,511803
CIV,100000,38039,38039,38039,709228,709048,683956,519140,514515,126668,45000,24000,24000,308272,0,0,0,0,5394,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,92657,198889,221695,668494,950263,1032942,933138,989079,1075252
COD,9000,0,0,0,1075297,1317879,1460102,2052677,1721382,1709278,2669069,2963799,2756585,1555112,2232900,4351376,4516866,5014253,5198131,5407840,5541021,6251790
COG,0,0,0,0,3492,0,0,0,0,0,0,0,0,0,15303,107828,138000,134430,134430,134430,26875,0
COL,950000,1244072,2000000,2000000,3000000,3000000,3000000,3303979,3672054,3888309,3943509,5368138,6044151,6939067,7410816,7677609,7816473,7976412,8252788,6766002,6834492,6918373
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078429,2615800,1733628,2733628,3646267,2730000,2561497
GEO,261583,260215,237069,234249,245980,273193,329870,352640,359716,273997,279778,257611,262704,268416,273765,278103,282382,286216,288538,290156,292856,295831
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,174000,174000,174000,174001,247090,247090,247090,247090,247090
HRV,17100,12566,7540,4804,3975,2873,2497,2285,2125,0,0,0,0,0,0,0,0,0,0,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313901
IRQ,0,0,0,1200000,1834368,2385865,2647251,1552003,1343568,1332382,1131810,954128,3596356,4403287,3604285,2615988,1802832,1414632,1224108,1186556,1168619,1123663
KEN,0,0,0,0,0,0,404000,399000,300000,300000,412000,0,0,0,0,0,0,0,0,0,0,0
KGZ,0,0,0,0,0,0,0,0,80000,163900,168600,0,0,0,0,0,0,0,0,0,0,0
LBN,0,0,0,0,200000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,304115,531616,498566,237822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,93565,59425,53579,363067,434869,174510,180937,170491,355672,278177,179047,161613,125802
LKA,462826,386104,351884,324699,469165,459567,504800,434900,273772,138401,93482,42191,30847,44934,39730,39322,35473,25110,25013,8767,8540,4806
MDA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262411,262411
MKD,9442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0
MLI,0,0,0,0,0,0,0,0,0,0,227930,254822,99816,61920,36690,38172,120298,207751,332957,350110,379932,354739
MMR,0,0,0,0,58500,67290,67290,67290,62015,339200,430400,372000,376500,451089,375016,353108,370306,312018,370320,671011,1504848,2607645
MNE,0,0,0,0,16196,16155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15128,15128,0,180516,668038,744949,1028743,582764
NER,0,0,0,0,0,0,0,0,0,0,0,0,0,137337,121391,129015,156137,191902,298458,224016,376809,335277
NGA,0,0,0,0,0,0,0,0,0,0,0,0,1188018,2172532,2219272,1704080,2167925,2195779,2610278,3084916,3286881,3313601
NPL,0,0,0,0,100000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,155809,1894557,952035,452932,757996,747498,1375904,1146108,448956,174354,96384,100680,98898,98898,0,0
PHL,0,0,0,0,0,0,0,0,139509,159465,1159,117369,142430,63174,87418,311943,77651,178897,150368,105214,98094,108237
PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,24000,90634,95000
RUS,371195,368220,334796,170544,158905,189274,91505,79950,75371,28450,0,0,0,0,0,0,0,0,0,0,0,0
SDN,0,0,662302,841946,1325235,1250000,1201040,1034140,1624100,2422520,1873300,1873300,2192830,3218234,2225557,1997022,1864195,1885782,2552174,3036590,3552717,9052822
SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000
SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71500,71501,71500,71500,71500,71500,71500
SOM,0,0,0,400000,400000,1000000,1277200,1550000,1463780,1356845,1132963,1133000,1133000,1133000,1562554,2116705,2648001,2648000,2967500,2967500,2967500,3860099
SRB,261826,251833,248154,246391,227590,226350,225879,224881,228442,228215,227821,227495,223139,220002,219633,217453,215794,214696,213018,211823,210308,209790
SSD,0,0,0,0,0,0,0,0,0,560161,345670,331097,1645392,1790427,1853924,1903953,1878154,1665815,1600254,2017236,1474679,1236672
SYR,0,0,0,0,0,0,0,0,0,0,2016500,6520800,7632500,6563462,6325978,6150005,6183920,6146994,6701972,6865308,6780994,7248188
TCD,0,0,0,0,112686,178918,166718,170531,131000,124000,90000,19791,0,51999,124342,99983,165314,170278,336124,406573,381289,215928
TGO,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680
TLS,0,0,0,0,155231,62625,15860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,0,0,0,0,1586174,1235992,853000,446300,125598,29776,0,0,0,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0,0,0,0,823000,1600000,1800000,1800000,1500002,734000,734000,854000,5914000,3689000
YEM,0,0,0,0,0,77000,100000,250000,220994,347295,385320,306614,334093,2532032,2025060,2014062,2144719,3625716,4002012,4288739,4523022,4516341
ZWE,0,0,0,0,0,0,0,0,0,54278,57926,60139,0,0,0,0,0,270000,0,0,0,0
