iso,all,c_1951,c_1951_p_1967,p_1967,no_application
ABW,1,0,0,1,0
AFG,1,0,1,0,0
AGO,1,0,1,0,0
ALB,1,0,1,0,0
AND,0,0,0,0,1
ARE,0,0,0,0,1
ARG,1,0,1,0,0
ARM,1,0,1,0,0
ATG,1,0,1,0,0
AUS,1,0,1,0,0
AUT,1,0,1,0,0
AZE,1,0,1,0,0
BDI,1,0,1,0,0
BEL,1,0,1,0,0
BEN,1,0,1,0,0
BFA,1,0,1,0,0
BGD,0,0,0,0,1
BGR,1,0,1,0,0
BHR,0,0,0,0,1
BHS,1,0,1,0,0
BIH,1,0,1,0,0
BLR,1,0,1,0,0
BLZ,1,0,1,0,0
BOL,1,0,1,0,0
BRA,1,0,1,0,0
BRB,0,0,0,0,1
BRN,0,0,0,0,1
BTN,0,0,0,0,1
BWA,1,0,1,0,0
CAF,1,0,1,0,0
CAN,1,0,1,0,0
CHE,1,0,1,0,0
CHL,1,0,1,0,0
CHN,1,0,1,0,0
CIV,1,0,1,0,0
CMR,1,0,1,0,0
COD,1,0,1,0,0
COG,1,0,1,0,0
COK,0,0,0,0,1
COL,1,0,1,0,0
COM,0,0,0,0,1
CPV,1,0,0,1,0
CRI,1,0,1,0,0
CUB,0,0,0,0,1
CUW,0,0,0,0,1
CYP,1,0,1,0,0
CZE,1,0,1,0,0
DEU,1,0,1,0,0
DJI,1,0,1,0,0
DMA,1,0,1,0,0
DNK,1,0,1,0,0
DOM,1,0,1,0,0
DZA,1,0,1,0,0
ECU,1,0,1,0,0
EGY,1,0,1,0,0
ERI,0,0,0,0,1
ESH,0,0,0,0,1
ESP,1,0,1,0,0
EST,1,0,1,0,0
ETH,1,0,1,0,0
FIN,1,0,1,0,0
FJI,1,0,1,0,0
FRA,1,0,1,0,0
FSM,0,0,0,0,1
GAB,1,0,1,0,0
GBR,1,0,1,0,0
GEO,1,0,1,0,0
GHA,1,0,1,0,0
GIN,1,0,1,0,0
GMB,1,0,1,0,0
GNB,1,0,1,0,0
GNQ,1,0,1,0,0
GRC,1,0,1,0,0
GRD,0,0,0,0,1
GTM,1,0,1,0,0
GUY,0,0,0,0,1
HKG,0,0,0,0,1
HND,1,0,1,0,0
HRV,1,0,1,0,0
HTI,1,0,1,0,0
HUN,1,0,1,0,0
IDN,0,0,0,0,1
IND,0,0,0,0,1
IRL,1,0,1,0,0
IRN,1,0,1,0,0
IRQ,0,0,0,0,1
ISL,1,0,1,0,0
ISR,1,0,1,0,0
ITA,1,0,1,0,0
JAM,1,0,1,0,0
JOR,0,0,0,0,1
JPN,1,0,1,0,0
KAZ,1,0,1,0,0
KEN,1,0,1,0,0
KGZ,1,0,1,0,0
KHM,1,0,1,0,0
KIR,0,0,0,0,1
KNA,1,1,0,0,0
KOR,1,0,1,0,0
KWT,0,0,0,0,1
LAO,0,0,0,0,1
LBN,0,0,0,0,1
LBR,1,0,1,0,0
LBY,0,0,0,0,1
LCA,0,0,0,0,1
LIE,1,0,1,0,0
LKA,0,0,0,0,1
LSO,1,0,1,0,0
LTU,1,0,1,0,0
LUX,1,0,1,0,0
LVA,1,0,1,0,0
MAC,1,0,1,0,0
MAR,1,0,1,0,0
MCO,1,0,1,0,0
MDA,1,0,1,0,0
MDG,1,1,0,0,0
MDV,0,0,0,0,1
MEX,1,0,1,0,0
MHL,0,0,0,0,1
MKD,1,0,1,0,0
MLI,1,0,1,0,0
MLT,1,0,1,0,0
MMR,0,0,0,0,1
MNE,1,0,1,0,0
MNG,0,0,0,0,1
MOZ,1,0,1,0,0
MRT,1,0,1,0,0
MSR,1,0,1,0,0
MUS,0,0,0,0,1
MWI,1,0,1,0,0
MYS,0,0,0,0,1
NAM,1,0,1,0,0
NER,1,0,1,0,0
NGA,1,0,1,0,0
NIC,1,0,1,0,0
NIU,0,0,0,0,1
NLD,1,0,1,0,0
NOR,1,0,1,0,0
NPL,0,0,0,0,1
NRU,1,0,1,0,0
NZL,1,0,1,0,0
OMN,0,0,0,0,1
PAK,0,0,0,0,1
PAN,1,0,1,0,0
PER,1,0,1,0,0
PHL,1,0,1,0,0
PLW,0,0,0,0,1
PNG,1,0,1,0,0
POL,1,0,1,0,0
PRK,0,0,0,0,1
PRT,1,0,1,0,0
PRY,1,0,1,0,0
PSE,0,0,0,0,1
QAT,0,0,0,0,1
ROU,1,0,1,0,0
RUS,1,0,1,0,0
RWA,1,0,1,0,0
SAU,0,0,0,0,1
SDN,1,0,1,0,0
SEN,1,0,1,0,0
SGP,0,0,0,0,1
SLB,1,0,1,0,0
SLE,1,0,1,0,0
SLV,1,0,1,0,0
SMR,0,0,0,0,1
SOM,1,0,1,0,0
SRB,1,0,1,0,0
SSD,1,0,1,0,0
STP,1,0,1,0,0
SUR,1,0,1,0,0
SVK,1,0,1,0,0
SVN,1,0,1,0,0
SWE,1,0,1,0,0
SWZ,1,0,1,0,0
SXM,0,0,0,0,1
SYC,1,0,1,0,0
SYR,0,0,0,0,1
TCA,1,0,1,0,0
TCD,1,0,1,0,0
TGO,1,0,1,0,0
THA,0,0,0,0,1
TJK,1,0,1,0,0
TKM,1,0,1,0,0
TLS,1,0,1,0,0
TON,0,0,0,0,1
TTO,1,0,1,0,0
TUN,1,0,1,0,0
TUR,1,0,1,0,0
TUV,1,0,1,0,0
TZA,1,0,1,0,0
UGA,1,0,1,0,0
UKR,1,0,1,0,0
URY,1,0,1,0,0
USA,1,0,0,1,0
UZB,0,0,0,0,1
VAT,1,0,1,0,0
VCT,1,0,1,0,0
VEN,1,0,0,1,0
VNM,0,0,0,0,1
VUT,0,0,0,0,1
WSM,1,0,1,0,0
XKX,0,0,0,0,1
YEM,1,0,1,0,0
ZAF,1,0,1,0,0
ZMB,1,0,1,0,0
ZWE,1,0,1,0,0
