year,population_type,population_number
1991,REF,16854762
1992,REF,17838020
1993,REF,16325299
1993,IDP,4198400
1993,ASY,743601
1994,REF,15753494
1994,IDP,5322990
1994,ASY,644640
1995,REF,14895916
1995,IDP,4286690
1995,ASY,986458
1996,REF,13356861
1996,IDP,4853712
1996,ASY,977087
1997,REF,12014967
1997,IDP,4573112
1997,ASY,1028200
1997,OOC,1404100
1998,REF,11480439
1998,IDP,5063880
1998,ASY,977800
1998,OOC,1378527
1999,REF,11686760
1999,IDP,3968648
1999,ASY,1027400
1999,OOC,1491142
2000,REF,12129080
2000,IDP,5998501
2000,ASY,947322
2000,OOC,1653841
2001,REF,12116301
2001,IDP,5096502
2001,ASY,943383
2001,OOC,1039510
2002,REF,10593526
2002,IDP,4646641
2002,ASY,1093121
2002,OOC,953319
2003,REF,9592279
2003,IDP,4181701
2003,ASY,995567
2003,OOC,905344
2004,REF,9572778
2004,IDP,5426539
2004,ASY,884285
2004,OOC,597042
2004,STA,1455861
2005,REF,8661294
2005,IDP,6616791
2005,ASY,801119
2005,OOC,960359
2005,STA,2383651
2006,REF,9877009
2006,IDP,12794268
2006,ASY,740253
2006,OOC,1045409
2006,STA,5805941
2007,REF,11390156
2007,IDP,13740317
2007,ASY,739958
2007,OOC,68615
2007,STA,2938538
2008,REF,10488995
2008,IDP,14442227
2008,ASY,823931
2008,OOC,166860
2008,STA,6573465
2009,REF,10395780
2009,IDP,15628057
2009,ASY,988030
2009,OOC,411691
2009,STA,6559572
2010,REF,10548900
2010,IDP,14697804
2010,ASY,835969
2010,OOC,1255578
2010,STA,3463073
2011,REF,10403951
2011,IDP,15473378
2011,ASY,895692
2011,OOC,1411844
2011,STA,3477100
2012,REF,10497028
2012,IDP,17670368
2012,ASY,941497
2012,OOC,1329600
2012,STA,3335772
2013,REF,11698238
2013,IDP,23925555
2013,ASY,1162934
2013,OOC,836073
2013,STA,3469268
2014,REF,14384302
2014,IDP,32274619
2014,ASY,1794703
2014,OOC,1052746
2014,STA,3492255
2015,REF,16110280
2015,IDP,37494172
2015,ASY,3223460
2015,OOC,870688
2015,STA,3687759
2016,REF,17184291
2016,IDP,36627127
2016,ASY,2729521
2016,OOC,803084
2016,STA,3242206
2017,REF,19940568
2017,IDP,39118516
2017,ASY,3089503
2017,OOC,1596125
2017,STA,3853982
2018,REF,20359556
2018,IDP,41425168
2018,ASY,3501627
2018,OOC,1182756
2018,STA,3851981
2018,VDA,2592947
2019,REF,20414675
2019,IDP,43503362
2019,ASY,4148134
2019,OOC,6140622
2019,STA,4161978
2019,VDA,3582202
2020,REF,20661855
2020,IDP,48557439
2020,ASY,4140106
2020,OOC,8309751
2020,STA,4176913
2020,VDA,3862102
2021,REF,20835367
2021,IDP,50872901
2021,ASY,4409770
2021,OOC,8426151
2021,STA,4265472
2021,VDA,3944279
