year,mainOffice,refNumber
2018,"Southern Africa",761750
2018,"East and Horn of Africa, and Great Lakes",5211897
2018,"West and Central Africa",1233067
2019,"Southern Africa",837295
2019,"East and Horn of Africa, and Great Lakes",5114307
2019,"West and Central Africa",1304192
2020,"Southern Africa",873127
2020,"East and Horn of Africa, and Great Lakes",5101833
2020,"West and Central Africa",1407360
2021,"Southern Africa",897496
2021,"East and Horn of Africa, and Great Lakes",5101091
2021,"West and Central Africa",1516061
