coping_mechanism,category,households_num
Reduce expenditure to meet food needs,coping,3767
Skip paying rent/debt,coping,2732
Take out new loans or borrowed money,coping,2718
Sell livelihood to buy food or basic goods,coping,1229
Ask for money from strangers,coping,936
Reduce expenditure to meet food needs,not_coping,2833
Skip paying rent/debt,not_coping,3868
Take out new loans or borrowed money,not_coping,3882
Sell livelihood to buy food or basic goods,not_coping,5371
Ask for money from strangers,not_coping,5664
