year,population,ret_num,ret_cumul,current_year_perc,max_year_perc
2002,21000256,1957955,1957955,9.32348158041502,4.760548278965107
2003,22645130,645862,2603817,11.498353067524894,6.330889391273082
2004,23553551,879780,3483597,14.790113813411828,8.469975920262728
2005,24411191,752086,4235683,17.351398381176896,10.298588790800483
2006,25442944,387912,4623595,18.172405677581967,11.241753370165133
2007,25903301,373855,4997450,19.292714855145295,12.150739928504063
2008,26427199,278483,5275933,19.964026456227916,12.827840151119515
2009,27385307,57577,5333510,19.475808688213718,12.967832177625729
2010,28189672,118031,5451541,19.338788333542865,13.254811333895681
2011,29249157,71145,5522686,18.881521952923293,13.427792432698753
2012,30466479,98611,5621297,18.450760260153462,13.667554034133431
2013,31541209,39665,5660962,17.94782818883068,13.763995038898683
2014,32716210,17815,5678777,17.35768599113406,13.807310216004264
2015,33753499,61381,5740158,17.006112462592395,13.956551242438048
2016,34636207,383950,6124108,17.681231666042414,14.890082662572143
2017,35643418,60541,6184649,17.35144760808293,15.037281323091323
2018,36686784,16218,6200867,16.90218199556549,15.076713573571162
2019,37769499,8404,6209271,16.439908297433334,15.097146958269189
2020,38972230,2311,6211582,15.93848235012469,15.102765895922346
2021,40099462,1429,6213011,15.494000892081793,15.10624034936517
2022,41128771,6506,6219517,15.122058959651383,15.122058959651383
2023,41128771,6079,6225596,15.13683936726434,15.13683936726434
