adm1_pcode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AF01,658833,782776,981470,1061349,1092681,1120936,1154381,1165208,1190239,1206401,1220321,1228192,1231785,1241932,1323024,1337020,1341119,1342740,1343165,1343412,1344227
AF02,22945,27671,37651,40020,40500,41374,41972,42160,42432,43434,43938,44053,44090,44186,44589,44663,44704,44720,44734,44734,44741
AF03,103194,115921,142015,149540,151810,155068,156803,158092,160458,162214,163843,164347,164512,165289,168917,169699,169874,169953,169968,169971,170022
AF04,12285,19033,23042,25765,27045,28891,30514,31260,32478,32917,33525,33731,33889,34181,35536,35981,36092,36127,36136,36146,36182
AF05,26849,37074,49437,69699,80889,88197,97895,98707,103566,105061,108168,109552,109837,115752,138887,143567,144353,144563,144598,144616,144832
AF06,327777,399493,450751,513386,536333,740199,855823,865925,892725,904032,925942,931809,931859,931947,932331,945239,945240,945269,945270,945274,945274
AF07,39058,50544,60507,68441,71959,93457,116095,117973,124113,126856,131017,132027,132754,136968,165003,167069,167532,167758,167850,167872,168037
AF08,4919,5400,7109,7435,7540,7770,7941,8009,8194,8344,8522,8591,10104,11679,17270,17301,17959,18230,18312,18360,18971
AF09,114293,135793,180071,202973,209698,214445,219117,221491,224410,226898,231277,233405,233516,234368,240843,243261,243558,243612,243623,243623,243665
AF10,7145,9668,20402,21839,22116,22535,22815,23045,23414,23788,24026,24130,24377,25367,27295,27405,27517,27622,27677,27719,27839
AF11,25741,53994,101331,143391,150553,163769,164629,165078,165870,166746,167420,167941,169767,178579,294109,294508,296783,297835,297922,297927,298360
AF12,899,2378,3314,6218,6971,8246,8367,8405,8506,8611,8672,8783,8826,9049,9103,9513,9513,9517,9521,9521,9523
AF13,2100,8175,23015,66154,75065,79124,87482,88706,93340,95474,98574,100266,100693,102442,127091,129697,130162,130320,130343,130349,130476
AF14,123,3919,8390,67214,70867,71927,73600,73796,75525,75996,76836,77187,77838,78518,80152,80764,81116,81368,81437,81446,81880
AF15,11721,19569,28132,47730,50446,60086,92195,94215,97394,99429,107019,107784,107994,108243,108535,110032,110127,110208,110261,110286,110289
AF16,67,104,155,191,378,441,543,563,591,596,852,875,2083,3750,5555,5576,6390,7145,7402,7837,8113
AF17,6247,9685,11555,12388,12539,13173,13591,13710,13817,13916,14030,14094,14414,14761,15687,15758,15902,16011,16050,16072,16137
AF18,32317,41411,57031,62186,64408,66680,70767,71803,72952,73784,75229,75875,76394,80612,100910,101518,102266,102422,102433,102434,102502
AF19,91798,118324,174511,207446,223689,237022,255439,260726,267575,272387,281870,285750,285751,285752,285789,290769,290769,290771,290771,290771,290771
AF20,6943,8967,13148,15422,15953,16536,17864,18218,18795,19073,19510,19655,19757,19818,19971,20109,20115,20122,20124,20125,20125
AF21,41199,56228,89332,99700,102526,106434,110261,111511,114537,117120,121013,122372,122678,123742,126525,128015,128161,128257,128290,128323,128502
AF22,10374,18234,26852,30565,31467,33059,34055,36513,38087,38818,39919,40699,40899,41167,41321,44779,44824,44859,44865,44872,44881
AF23,6309,8351,10269,10736,10795,10889,10944,11005,11026,11057,11094,11126,11636,12866,18966,18977,19470,19790,19856,19879,20444
AF24,3062,5395,6971,7813,7963,9626,9683,9713,9822,9959,10051,10109,10115,10173,10267,10289,10359,10366,10368,10368,10433
AF25,3795,4596,9813,12462,12593,13197,13289,13314,13552,13604,13649,13678,13791,14905,19068,19153,19493,19651,19670,19670,19713
AF26,6515,7315,10813,12638,13340,14880,15491,15744,16108,16408,16651,16892,16921,17020,18155,18319,18363,18378,18378,18380,18383
AF27,68386,83115,119838,133189,135387,150776,156607,159564,165462,168581,172616,175475,175586,175707,176276,177573,177686,177792,177860,177870,177986
AF28,59946,71148,83883,100886,104266,113774,116788,120005,124223,125500,127003,127728,129620,137096,162622,163798,164656,165124,165252,165365,165987
AF29,39459,47631,54587,60354,61797,64468,66749,68348,69998,70413,71234,71822,72642,74802,83134,83731,84197,84536,84639,84720,85077
AF30,17127,29153,55288,63774,65115,69274,70941,72217,74370,76833,79432,81104,81129,81183,81341,82089,82108,82112,82114,82117,82185
AF31,4117,5984,7950,8933,9139,9498,9676,9851,10083,10127,10184,10281,10357,10816,12817,12845,12919,12944,12967,12976,12976
AF32,47524,70351,123275,140099,141917,143362,144499,146035,149424,154431,158664,160957,161574,162882,166981,167628,168950,170192,170575,170713,171627
AF33,18001,34889,61090,71843,72170,72579,72659,72744,73430,74591,75749,76247,76257,76265,76288,76465,76476,76480,76484,76490,76499
AF34,3245,6072,25561,29623,29752,29787,29852,29905,29995,30190,30295,30353,30402,30493,30529,30597,30653,30691,30717,30757,30760
